"","firm","longitude","latitude","collected"
"145","starbucks",-104.884094,39.626093,2008
"146","starbucks",-104.884181,39.534915,2008
"147","starbucks",-104.884428,39.468969,2008
"148","starbucks",-104.8869,39.5648,2008
"149","starbucks",-104.887753,39.610353,2008
"150","starbucks",-104.8897,39.5363,2008
"151","starbucks",-104.890878,39.595127,2008
"152","starbucks",-104.894738,39.783605,2008
"153","starbucks",-104.895047,39.623611,2008
"154","starbucks",-104.895128,39.780685,2008
"155","starbucks",-104.89532,39.785465,2008
"156","starbucks",-104.901812,39.719997,2008
"157","starbucks",-104.903384,39.720399,2008
"158","starbucks",-104.903473,39.596047,2008
"159","starbucks",-104.904318,39.698404,2008
"160","starbucks",-104.904319,39.569592,2008
"161","starbucks",-104.907351,39.559036,2008
"162","starbucks",-104.913243,39.666356,2008
"163","starbucks",-104.914117,39.676285,2008
"164","starbucks",-104.915592,39.737395,2008
"165","starbucks",-104.915699,39.653555,2008
"166","starbucks",-104.916682,39.740092,2008
"167","starbucks",-104.920213,40.479521,2008
"168","starbucks",-104.920391,39.707188,2008
"169","starbucks",-104.921106,39.607845,2008
"170","starbucks",-104.923571,40.479515,2008
"171","starbucks",-104.927858,39.595054,2008
"172","starbucks",-104.928482,39.652977,2008
"173","starbucks",-104.929801,39.652296,2008
"174","starbucks",-104.9315,40.1025,2008
"175","starbucks",-104.937305,39.666473,2008
"176","starbucks",-104.93852,39.708517,2008
"177","starbucks",-104.9392,40.1122,2008
"178","starbucks",-104.939513,39.69883,2008
"179","starbucks",-104.940012,39.667705,2008
"180","starbucks",-104.940374,39.525544,2008
"181","starbucks",-104.940408,39.77318,2008
"182","starbucks",-104.94046,39.94415,2008
"183","starbucks",-104.940794,39.686604,2008
"184","starbucks",-104.940877,39.729406,2008
"185","starbucks",-104.941066,39.694403,2008
"186","starbucks",-104.941576,39.912706,2008
"187","starbucks",-104.941753,39.913803,2008
"188","starbucks",-104.941958,39.883747,2008
"189","starbucks",-104.942005,39.526054,2008
"190","starbucks",-104.942018,40.118662,2008
"191","starbucks",-104.942301,39.542998,2008
"192","starbucks",-104.944522,39.542792,2008
"193","starbucks",-104.950738,39.717054,2008
"194","starbucks",-104.952147,39.717981,2008
"195","starbucks",-104.952759,39.740538,2008
"196","starbucks",-104.953372,39.71697,2008
"197","starbucks",-104.954056,39.719855,2008
"198","starbucks",-104.95564,39.721187,2008
"199","starbucks",-104.958061,39.60805,2008
"200","starbucks",-104.958959,39.679712,2008
"201","starbucks",-104.960313,39.581914,2008
"202","starbucks",-104.960377,39.580256,2008
"203","starbucks",-104.965895,39.565226,2008
"204","starbucks",-104.96811,39.744577,2008
"205","starbucks",-104.968435,39.678706,2008
"206","starbucks",-104.972538,39.677622,2008
"207","starbucks",-104.972955,39.711132,2008
"208","starbucks",-104.973502,39.724979,2008
"209","starbucks",-104.97379,39.731542,2008
"210","starbucks",-104.974396,39.916196,2008
"211","starbucks",-104.974661,39.998524,2008
"212","starbucks",-104.977218,40.163545,2008
"213","starbucks",-104.977539,39.748083,2008
"214","starbucks",-104.979292,39.849301,2008
"215","starbucks",-104.98137,40.406446,2008
"216","starbucks",-104.983257,39.725403,2008
"217","starbucks",-104.98398,39.877934,2008
"218","starbucks",-104.984105,39.651832,2008
"219","starbucks",-104.986286,39.725483,2008
"220","starbucks",-104.986838,39.742921,2008
"221","starbucks",-104.986936,39.743591,2008
"222","starbucks",-104.987222,39.664221,2008
"223","starbucks",-104.987417,39.638784,2008
"224","starbucks",-104.987597,39.710728,2008
"225","starbucks",-104.987605,39.709539,2008
"226","starbucks",-104.987705,39.654987,2008
"227","starbucks",-104.988691,39.742887,2008
"228","starbucks",-104.98887,39.613135,2008
"229","starbucks",-104.989407,39.745929,2008
"230","starbucks",-104.989708,39.91418,2008
"231","starbucks",-104.990099,39.747017,2008
"232","starbucks",-104.990308,39.746307,2008
"233","starbucks",-104.99151,39.748559,2008
"234","starbucks",-104.99152,39.95865,2008
"235","starbucks",-104.99213,39.746553,2008
"236","starbucks",-104.992198,39.945143,2008
"237","starbucks",-104.992801,39.693556,2008
"238","starbucks",-104.993039,39.744913,2008
"239","starbucks",-104.993749,39.548144,2008
"240","starbucks",-104.99497,39.76604,2008
"241","starbucks",-104.995077,39.548397,2008
